ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
45424,45424,Dayton,Ohio,Montgomery,1,1,3053,0,1,1,26.8,1,31607,1,143.3682556,0,0.93,0,0.88,0,0.049,1,0.07,0
73112,73112,Oklahoma City,Oklahoma,Oklahoma,1,1,4152,0,0,1,25.7,1,34596,1,0,0,0.93,0,0.77,1,0.04,1,0.16,1
97013,97013,Canby,Oregon,Clackamas,0,1,3870,0,0,0,13,0,126389,0,83.95141103,0,0.93,0,0.82,1,0.037,0,0.06,0
57701,57701,Rapid City,South Dakota,Meade,0,1,1192,0,0,0,11.2,0,59402,0,1191.999987,1,0.68,1,0.88,0,0.035,0,0.1,1
76501,76501,Temple,Texas,Bell,1,1,6017,0,0,0,5.7,0,94042,0,6017.000046,1,0.8,0,0.78,1,0.042,1,0.14,1
79912,79912,El Paso,Texas,El Paso,0,1,7464,0,0,0,15.8,0,53814,1,0,0,0.81,0,0.86,0,0.046,1,0.21,1
78414,78414,Corpus Christi,Texas,Nueces,1,1,1661,0,0,1,42.2,1,25640,1,219.5495801,0,0.96,0,0.87,0,0.054,1,0.18,1
79121,79121,Amarillo,Texas,Randall,1,1,2101,0,0,0,5.8,0,83622,0,0,0,0.89,0,0.97,0,0.028,0,0.13,1
78641,78641,Leander,Texas,Travis,0,1,3611,0,1,0,8,0,109429,0,0,0,0.92,0,0.9,0,0.03,0,0.15,1
78642,78642,Liberty Hill,Texas,Williamson,0,1,4846,0,0,0,5.5,0,76806,0,4845.999991,1,0.89,0,0.95,0,0.032,0,0.11,1
82716,82716,GILLETTE,Wyoming,Campbell,0,1,6441,0,0,0,2.1,0,94479,0,5517.288049,1,0.55,1,0.79,1,0.049,1,0.12,1
82637,82637,GLENROCK,Wyoming,Converse,0,1,4979,0,0,0,5.4,0,81076,0,691.95608,0,0.84,0,0.87,0,0.044,1,0.12,1
82501,82501,RIVERTON,Wyoming,Fremont,0,1,3595,0,0,0,6.4,0,68500,0,258.8192134,0,0.66,1,0.69,1,0.056,1,0.21,1
82443,82443,THERMOPOLIS,Wyoming,Hot Springs,0,1,2956,0,0,1,12.6,0,51029,1,25.36331994,0,0.8,0,0.87,0,0.039,1,0.14,1
82007,82007,Cheyenne,Wyoming,Laramie,0,1,3769,0,0,0,8.2,0,70956,0,1415.06317,1,0.71,0,0.79,1,0.037,0,0.11,1
82414,82414,CODY,Wyoming,Park,0,1,4999,0,0,0,4.9,0,75194,0,4827.764251,1,0.64,1,0.85,0,0.042,1,0.15,1
82433,82433,MEETEETSE,Wyoming,Park,0,1,6258,0,0,0,14.9,0,66079,0,205.4882635,0,0.64,1,0.85,0,0.042,1,0.15,1
82835,82835,CLEARMONT,Wyoming,Sheridan,0,1,5411,0,0,0,9.3,0,61401,0,669.2518128,0,0.87,0,0.86,0,0.04,1,0.12,1
82836,82836,DAYTON,Wyoming,Sheridan,0,1,3206,0,0,0,5,0,70988,0,186.0818938,0,0.87,0,0.86,0,0.04,1,0.12,1
